Entity,Code,Day,stringency_index
United States,USA,1/21/20,0
United States,USA,1/22/20,0
United States,USA,1/23/20,0
United States,USA,1/24/20,0
United States,USA,1/25/20,0
United States,USA,1/26/20,0
United States,USA,1/27/20,0
United States,USA,1/28/20,0
United States,USA,1/29/20,0
United States,USA,1/30/20,0
United States,USA,1/31/20,0
United States,USA,2/1/20,0
United States,USA,2/2/20,5.56
United States,USA,2/3/20,5.56
United States,USA,2/4/20,5.56
United States,USA,2/5/20,5.56
United States,USA,2/6/20,5.56
United States,USA,2/7/20,5.56
United States,USA,2/8/20,5.56
United States,USA,2/9/20,5.56
United States,USA,2/10/20,5.56
United States,USA,2/11/20,5.56
United States,USA,2/12/20,5.56
United States,USA,2/13/20,5.56
United States,USA,2/14/20,5.56
United States,USA,2/15/20,5.56
United States,USA,2/16/20,5.56
United States,USA,2/17/20,5.56
United States,USA,2/18/20,5.56
United States,USA,2/19/20,5.56
United States,USA,2/20/20,5.56
United States,USA,2/21/20,5.56
United States,USA,2/22/20,5.56
United States,USA,2/23/20,5.56
United States,USA,2/24/20,5.56
United States,USA,2/25/20,5.56
United States,USA,2/26/20,5.56
United States,USA,2/27/20,5.56
United States,USA,2/28/20,5.56
United States,USA,2/29/20,5.56
United States,USA,3/1/20,8.33
United States,USA,3/2/20,11.11
United States,USA,3/3/20,11.11
United States,USA,3/4/20,11.11
United States,USA,3/5/20,20.37
United States,USA,3/6/20,20.37
United States,USA,3/7/20,20.37
United States,USA,3/8/20,20.37
United States,USA,3/9/20,20.37
United States,USA,3/10/20,20.37
United States,USA,3/11/20,21.76
United States,USA,3/12/20,30.09
United States,USA,3/13/20,30.09
United States,USA,3/14/20,35.65
United States,USA,3/15/20,41.2
United States,USA,3/16/20,52.31
United States,USA,3/17/20,55.09
United States,USA,3/18/20,55.09
United States,USA,3/19/20,67.13
United States,USA,3/20/20,67.13
United States,USA,3/21/20,72.69
United States,USA,3/22/20,72.69
United States,USA,3/23/20,72.69
United States,USA,3/24/20,72.69
United States,USA,3/25/20,72.69
United States,USA,3/26/20,72.69
United States,USA,3/27/20,72.69
United States,USA,3/28/20,72.69
United States,USA,3/29/20,72.69
United States,USA,3/30/20,72.69
United States,USA,3/31/20,72.69
United States,USA,4/1/20,72.69
United States,USA,4/2/20,72.69
United States,USA,4/3/20,72.69
United States,USA,4/4/20,72.69
United States,USA,4/5/20,72.69
United States,USA,4/6/20,72.69
United States,USA,4/7/20,72.69
United States,USA,4/8/20,72.69
United States,USA,4/9/20,72.69
United States,USA,4/10/20,72.69
United States,USA,4/11/20,72.69
United States,USA,4/12/20,72.69
United States,USA,4/13/20,72.69
United States,USA,4/14/20,72.69
United States,USA,4/15/20,72.69
United States,USA,4/16/20,72.69
United States,USA,4/17/20,72.69
United States,USA,4/18/20,72.69
United States,USA,4/19/20,72.69
United States,USA,4/20/20,72.69
United States,USA,4/21/20,72.69
United States,USA,4/22/20,72.69
United States,USA,4/23/20,72.69
United States,USA,4/24/20,72.69
United States,USA,4/25/20,72.69
United States,USA,4/26/20,72.69
United States,USA,4/27/20,72.69
United States,USA,4/28/20,72.69
United States,USA,4/29/20,72.69
United States,USA,4/30/20,72.69
United States,USA,5/1/20,72.69
United States,USA,5/2/20,72.69
United States,USA,5/3/20,72.69
United States,USA,5/4/20,72.69
United States,USA,5/5/20,72.69
United States,USA,5/6/20,72.69
United States,USA,5/7/20,72.69
United States,USA,5/8/20,72.69
United States,USA,5/9/20,72.69
United States,USA,5/10/20,72.69
United States,USA,5/11/20,72.69
United States,USA,5/12/20,72.69
United States,USA,5/13/20,72.69
United States,USA,5/14/20,72.69
United States,USA,5/15/20,72.69
United States,USA,5/16/20,72.69
United States,USA,5/17/20,72.69
United States,USA,5/18/20,72.69
United States,USA,5/19/20,72.69
United States,USA,5/20/20,72.69
United States,USA,5/21/20,72.69
United States,USA,5/22/20,72.69
United States,USA,5/23/20,72.69
United States,USA,5/24/20,72.69
United States,USA,5/25/20,72.69
United States,USA,5/26/20,72.69
United States,USA,5/27/20,72.69
United States,USA,5/28/20,72.69
United States,USA,5/29/20,72.69
United States,USA,5/30/20,72.69
United States,USA,5/31/20,72.69
United States,USA,6/1/20,72.69
United States,USA,6/2/20,72.69
United States,USA,6/3/20,72.69
United States,USA,6/4/20,72.69
United States,USA,6/5/20,72.69
United States,USA,6/6/20,72.69
United States,USA,6/7/20,72.69
United States,USA,6/8/20,72.69
United States,USA,6/9/20,72.69
United States,USA,6/10/20,72.69
United States,USA,6/11/20,72.69
United States,USA,6/12/20,72.69
United States,USA,6/13/20,72.69
United States,USA,6/14/20,72.69
United States,USA,6/15/20,68.98
United States,USA,6/16/20,68.98
United States,USA,6/17/20,68.98
United States,USA,6/18/20,68.98
United States,USA,6/19/20,68.98
United States,USA,6/20/20,68.98
United States,USA,6/21/20,68.98
United States,USA,6/22/20,68.98
United States,USA,6/23/20,68.98
United States,USA,6/24/20,68.98
United States,USA,6/25/20,68.98
United States,USA,6/26/20,68.98
United States,USA,6/27/20,68.98
United States,USA,6/28/20,68.98
United States,USA,6/29/20,68.98
United States,USA,6/30/20,68.98
United States,USA,7/1/20,68.98
United States,USA,7/2/20,68.98
United States,USA,7/3/20,68.98
United States,USA,7/4/20,68.98
United States,USA,7/5/20,68.98
United States,USA,7/6/20,68.98
United States,USA,7/7/20,68.98
United States,USA,7/8/20,68.98
United States,USA,7/9/20,68.98
United States,USA,7/10/20,68.98
United States,USA,7/11/20,68.98
United States,USA,7/12/20,68.98
United States,USA,7/13/20,68.98
United States,USA,7/14/20,68.98
United States,USA,7/15/20,68.98
United States,USA,7/16/20,68.98
United States,USA,7/17/20,68.98
United States,USA,7/18/20,68.98
United States,USA,7/19/20,68.98
United States,USA,7/20/20,67.13
United States,USA,7/21/20,67.13
United States,USA,7/22/20,67.13
United States,USA,7/23/20,67.13
United States,USA,7/24/20,67.13
United States,USA,7/25/20,67.13
United States,USA,7/26/20,67.13
United States,USA,7/27/20,67.13
United States,USA,7/28/20,67.13
United States,USA,7/29/20,67.13
United States,USA,7/30/20,67.13
United States,USA,7/31/20,67.13
United States,USA,8/1/20,67.13
United States,USA,8/2/20,67.13
United States,USA,8/3/20,67.13
United States,USA,8/4/20,67.13
United States,USA,8/5/20,67.13
United States,USA,8/6/20,67.13
United States,USA,8/7/20,67.13
United States,USA,8/8/20,67.13
United States,USA,8/9/20,67.13
United States,USA,8/10/20,67.13
United States,USA,8/11/20,67.13
United States,USA,8/12/20,67.13
United States,USA,8/13/20,67.13
United States,USA,8/14/20,67.13
United States,USA,8/15/20,67.13
United States,USA,8/16/20,67.13
United States,USA,8/17/20,67.13
United States,USA,8/18/20,67.13
United States,USA,8/19/20,67.13
United States,USA,8/20/20,67.13
United States,USA,8/21/20,67.13
United States,USA,8/22/20,67.13
United States,USA,8/23/20,67.13
United States,USA,8/24/20,67.13
United States,USA,8/25/20,67.13
United States,USA,8/26/20,67.13
United States,USA,8/27/20,67.13
United States,USA,8/28/20,67.13
United States,USA,8/29/20,67.13
United States,USA,8/30/20,67.13
United States,USA,8/31/20,67.13
United States,USA,9/1/20,67.13
United States,USA,9/2/20,67.13
United States,USA,9/3/20,67.13
United States,USA,9/4/20,67.13
United States,USA,9/5/20,67.13
United States,USA,9/6/20,67.13
United States,USA,9/7/20,67.13
United States,USA,9/8/20,67.13
United States,USA,9/9/20,67.13
United States,USA,9/10/20,67.13
United States,USA,9/11/20,67.13
United States,USA,9/12/20,62.5
United States,USA,9/13/20,62.5
United States,USA,9/14/20,62.5
United States,USA,9/15/20,62.5
United States,USA,9/16/20,62.5
United States,USA,9/17/20,62.5
United States,USA,9/18/20,62.5
United States,USA,9/19/20,62.5
United States,USA,9/20/20,62.5
United States,USA,9/21/20,62.5
United States,USA,9/22/20,62.5
United States,USA,9/23/20,62.5
United States,USA,9/24/20,62.5
United States,USA,9/25/20,62.5
United States,USA,9/26/20,62.5
United States,USA,9/27/20,62.5
United States,USA,9/28/20,62.5
United States,USA,9/29/20,62.5
United States,USA,9/30/20,62.5
United States,USA,10/1/20,62.5
United States,USA,10/2/20,62.5
United States,USA,10/3/20,62.5
United States,USA,10/4/20,62.5
United States,USA,10/5/20,62.5
United States,USA,10/6/20,62.5
United States,USA,10/7/20,62.5
United States,USA,10/8/20,62.5
United States,USA,10/9/20,62.5
United States,USA,10/10/20,62.5
United States,USA,10/11/20,62.5
United States,USA,10/12/20,62.5
United States,USA,10/13/20,66.2
United States,USA,10/14/20,66.2
United States,USA,10/15/20,66.2
United States,USA,10/16/20,66.2
United States,USA,10/17/20,66.2
United States,USA,10/18/20,66.2
United States,USA,10/19/20,66.2
United States,USA,10/20/20,66.2
United States,USA,10/21/20,66.2
United States,USA,10/22/20,66.2
United States,USA,10/23/20,66.2
United States,USA,10/24/20,66.2
United States,USA,10/25/20,66.2
United States,USA,10/26/20,62.5
United States,USA,10/27/20,62.5
United States,USA,10/28/20,62.5
United States,USA,10/29/20,62.5
United States,USA,10/30/20,62.5
United States,USA,10/31/20,62.5
United States,USA,11/1/20,62.5
United States,USA,11/2/20,62.5
United States,USA,11/3/20,62.5
United States,USA,11/4/20,62.5
